word,aoa,dale_chall,source
sand,4.63,yes,kuperman
sang,3.47,yes,kuperman-lemma
sank,4.47,yes,kuperman-lemma
sat,3.47,yes,kuperman-lemma
save,5.44,yes,kuperman
saved,5.44,yes,kuperman-lemma
saw,5.36,yes,kuperman
say,3.42,yes,kuperman
scar,5.68,no,kuperman
school,3.89,yes,kuperman
score,5.83,yes,kuperman
sea,4.74,yes,kuperman
seat,4.58,yes,kuperman
see,3.06,yes,kuperman
self,5.00,yes,kuperman
sell,7.05,yes,kuperman
sells,7.05,yes,kuperman-lemma
send,5.68,yes,kuperman
sent,5.68,yes,kuperman-lemma
set,6.00,yes,kuperman
sets,6.00,yes,kuperman-lemma
shadow,5.00,yes,kuperman
shake,5.26,yes,kuperman
shark,5.47,no,kuperman
sharp,6.11,yes,kuperman
she,3.57,yes,kuperman
shed,7.33,yes,kuperman
shelf,5.50,yes,kuperman
shell,5.22,yes,kuperman
shells,5.22,yes,kuperman-lemma
shine,5.79,yes,kuperman
shining,7.00,yes,kuperman
ship,5.33,yes,kuperman
shipment,9.74,no,kuperman
shirt,3.53,yes,kuperman
shook,5.26,yes,kuperman-lemma
shop,5.78,yes,kuperman
shops,5.78,yes,kuperman-lemma
shore,6.93,yes,kuperman
short,4.32,yes,kuperman
shout,4.72,yes,kuperman
show,6.21,yes,kuperman
shower,4.72,yes,kuperman
shut,4.89,yes,kuperman
shuts,4.89,yes,kuperman-lemma
shy,5.32,yes,kuperman
sick,4.05,yes,kuperman
sid,,no,estimated:name
side,4.72,yes,kuperman
sigh,7.39,yes,kuperman
sight,5.44,yes,kuperman
sign,4.32,yes,kuperman
silent,4.42,yes,kuperman
silk,7.39,yes,kuperman
simple,6.89,yes,kuperman
sing,3.47,yes,kuperman
sings,3.47,yes,kuperman-lemma
sink,4.47,yes,kuperman
sip,4.26,yes,kuperman
sit,3.47,yes,kuperman
site,8.63,no,kuperman
sits,3.47,yes,kuperman-lemma
sitting,3.47,yes,kuperman-lemma
six,5.25,yes,kuperman
skate,5.37,yes,kuperman
sky,4.17,yes,kuperman
sled,4.89,yes,kuperman
sleep,2.79,yes,kuperman
slid,4.79,yes,kuperman-lemma
slide,4.79,yes,kuperman
sliding,4.79,yes,estimated:inflection
sling,8.67,yes,kuperman
slings,8.67,yes,kuperman-lemma
slip,6.17,yes,kuperman
slipped,6.17,yes,kuperman-lemma
slipping,6.17,yes,kuperman-lemma
slips,6.17,yes,kuperman-lemma
slow,4.15,yes,kuperman
slowly,6.32,yes,kuperman
small,3.22,yes,kuperman
smart,5.50,yes,kuperman
smile,3.51,yes,kuperman
smiling,3.51,yes,kuperman-lemma
smooth,5.61,yes,kuperman
snail,5.79,yes,kuperman
snake,5.10,yes,kuperman
snap,6.05,yes,kuperman
snapped,6.05,yes,kuperman-lemma
sniff,6.16,no,kuperman
sniffs,6.16,no,kuperman-lemma
snow,4.11,yes,kuperman
snug,6.38,yes,kuperman
so,5.15,yes,kuperman
soap,3.17,yes,kuperman
sob,9.00,yes,kuperman
sobs,9.00,yes,kuperman-lemma
sock,2.94,no,kuperman
socks,2.94,yes,kuperman-lemma
soft,3.95,yes,kuperman
softly,3.95,yes,estimated:inflection
soil,6.48,yes,kuperman
sold,7.05,yes,kuperman-lemma
song,4.26,yes,kuperman
soon,4.83,yes,kuperman
sort,6.81,yes,kuperman
sorts,6.81,yes,kuperman-lemma
sound,3.72,yes,kuperman
soup,5.37,yes,kuperman
south,6.06,yes,kuperman
space,5.67,yes,kuperman
spade,8.11,yes,kuperman
speak,3.56,yes,kuperman
spent,6.44,yes,kuperman-lemma
spill,3.84,yes,kuperman
spilled,3.84,yes,kuperman-lemma
spills,3.84,yes,kuperman-lemma
spin,5.00,yes,kuperman
splash,3.67,yes,kuperman
spoil,6.30,yes,kuperman
spoon,2.50,yes,kuperman
sport,5.74,yes,kuperman
spot,5.39,yes,kuperman
spotless,7.47,no,kuperman
spots,5.39,yes,kuperman-lemma
spread,5.72,yes,kuperman
spy,8.00,no,kuperman
stage,6.32,yes,kuperman
stamp,6.33,yes,kuperman
stand,4.39,yes,kuperman
star,3.89,yes,kuperman
start,4.37,yes,kuperman
started,4.37,yes,kuperman-lemma
starts,4.37,yes,kuperman-lemma
station,7.11,yes,kuperman
stay,4.22,yes,kuperman
steak,6.63,yes,kuperman
steam,6.26,yes,kuperman
stem,7.26,yes,kuperman
step,4.11,yes,kuperman
steps,3.67,yes,kuperman
stew,6.95,no,kuperman
stick,3.89,yes,kuperman
sticks,3.89,yes,kuperman-lemma
still,5.26,yes,kuperman
stone,4.44,yes,kuperman
stood,4.39,yes,kuperman-lemma
stop,2.89,yes,kuperman
stopped,2.89,yes,kuperman-lemma
stops,2.89,yes,kuperman-lemma
store,4.76,yes,kuperman
straw,4.22,yes,kuperman
string,4.94,yes,kuperman
strong,4.58,yes,kuperman
stub,9.47,no,kuperman
stuck,3.89,yes,kuperman-lemma
such,6.42,yes,kuperman
suit,6.67,yes,kuperman
sum,7.10,yes,kuperman
sun,3.40,yes,kuperman
sunny,6.17,yes,kuperman
sunset,6.06,yes,kuperman
surf,7.40,no,kuperman
swam,4.17,yes,kuperman-lemma
swear,7.21,yes,kuperman
sweat,7.26,yes,kuperman
sweet,4.53,yes,kuperman
swim,4.17,yes,kuperman
swimming,4.58,yes,kuperman
swing,4.16,yes,kuperman
table,4.39,yes,kuperman
tack,6.63,yes,kuperman
tag,5.00,yes,kuperman
take,4.37,yes,kuperman
taking,4.37,yes,kuperman-lemma
tall,4.95,yes,kuperman
tallest,4.95,yes,kuperman-lemma
tame,7.58,yes,kuperman
tan,7.05,yes,kuperman
tank,7.17,yes,kuperman
tap,5.84,yes,kuperman
tape,4.42,yes,kuperman
tapped,5.84,yes,kuperman-lemma
taps,8.90,yes,kuperman
taught,4.67,yes,kuperman-lemma
tax,8.94,yes,kuperman
tea,5.47,yes,kuperman
teach,4.67,yes,kuperman
team,6.00,yes,kuperman
tear,4.89,yes,kuperman
ted,,no,estimated:name
teeth,3.61,yes,kuperman-lemma
tell,4.26,yes,kuperman
tells,4.26,yes,kuperman-lemma
ten,3.58,yes,kuperman
tess,,no,estimated:name
test,6.26,yes,kuperman
text,7.78,no,kuperman
than,5.45,yes,kuperman
thank,3.79,yes,kuperman
thankful,5.50,yes,kuperman
thanks,3.53,yes,kuperman
that,5.53,yes,kuperman
the,3.98,yes,kuperman
their,5.26,yes,kuperman
them,4.90,yes,kuperman
then,6.74,yes,kuperman
there,5.25,yes,kuperman
these,6.42,yes,kuperman
they,4.88,yes,kuperman
thick,5.61,yes,kuperman
thin,6.47,yes,kuperman
thing,4.58,yes,kuperman
think,4.75,yes,kuperman
thinks,4.75,yes,kuperman-lemma
third,4.58,yes,kuperman
this,4.93,yes,kuperman
thorn,5.97,yes,kuperman
thorns,5.97,yes,kuperman-lemma
those,5.01,yes,kuperman
thought,5.89,yes,kuperman
thread,7.06,yes,kuperman
three,3.69,yes,kuperman
threw,4.14,yes,kuperman-lemma
throw,4.14,yes,kuperman
thumb,4.42,yes,kuperman
thump,7.63,no,kuperman
tick,6.05,yes,kuperman
tie,4.74,yes,kuperman
tied,4.74,yes,kuperman-lemma
tim,,no,estimated:name
time,5.16,yes,kuperman
times,6.70,yes,kuperman
tin,6.79,yes,kuperman
tip,5.42,yes,kuperman
tipped,5.42,yes,kuperman-lemma
tips,5.42,yes,kuperman-lemma
to,3.95,yes,kuperman
toad,6.11,yes,kuperman
today,4.77,yes,kuperman
toe,3.00,yes,kuperman
told,4.26,yes,kuperman-lemma
toll,8.37,no,kuperman
tom,,no,estimated:name
too,5.10,yes,kuperman
took,4.37,yes,kuperman-lemma
tool,5.37,yes,kuperman
tooth,3.61,yes,kuperman
toothless,6.47,no,kuperman
top,3.89,yes,kuperman
toss,4.11,yes,kuperman
tosses,4.11,yes,kuperman-lemma
tot,7.00,no,kuperman
tower,6.33,yes,kuperman
town,5.11,yes,kuperman
toy,3.00,yes,kuperman
train,4.00,yes,kuperman
trap,6.44,yes,kuperman
tray,6.05,yes,kuperman
tree,3.57,yes,kuperman
trick,6.05,yes,kuperman
tricycle,4.05,yes,kuperman
tried,3.44,yes,kuperman-lemma
trip,4.22,yes,kuperman
tripped,4.22,yes,kuperman-lemma
trips,4.22,yes,kuperman-lemma
truck,3.79,yes,kuperman
true,4.64,yes,kuperman
trunk,8.30,yes,kuperman
trust,6.55,yes,kuperman
try,3.44,yes,kuperman
tub,3.95,yes,kuperman
tube,5.50,no,kuperman
tug,5.17,yes,kuperman
tugs,5.17,yes,kuperman-lemma
tulip,7.15,yes,kuperman
tune,7.32,yes,kuperman
turn,4.11,yes,kuperman
turns,4.11,yes,kuperman-lemma
twig,6.28,yes,kuperman
two,4.24,yes,kuperman
under,5.89,yes,kuperman
undo,7.78,no,kuperman
unhappy,4.89,yes,kuperman
unicycle,7.26,no,kuperman
unlock,7.06,no,kuperman
unsafe,4.74,no,kuperman
up,2.92,yes,kuperman
upset,5.26,yes,kuperman
us,4.19,yes,kuperman
van,5.20,no,kuperman
vast,9.63,no,kuperman
vest,5.83,no,kuperman
vet,7.78,no,kuperman
vine,6.95,yes,kuperman
visitor,6.37,yes,kuperman
vote,7.79,yes,kuperman
wag,4.53,yes,kuperman
wags,4.53,yes,kuperman-lemma
wait,4.30,yes,kuperman
wake,5.63,yes,kuperman
walk,3.45,yes,kuperman
wall,3.79,yes,kuperman
want,4.16,yes,kuperman
wanted,4.16,yes,kuperman-lemma
wants,4.16,yes,kuperman-lemma
was,5.11,yes,kuperman-lemma
washable,7.67,no,kuperman
wave,4.26,yes,kuperman
wax,6.00,yes,kuperman
way,5.39,yes,kuperman
we,5.04,yes,kuperman
wear,4.63,yes,kuperman
weather,5.94,yes,kuperman
web,5.37,yes,kuperman
wed,6.95,no,kuperman
week,5.11,yes,kuperman
well,6.16,yes,kuperman
went,3.37,yes,kuperman-lemma
were,5.11,yes,kuperman-lemma
west,5.89,yes,kuperman
wet,2.47,yes,kuperman
wetter,2.47,yes,kuperman-lemma
wettest,2.47,yes,kuperman-lemma
what,3.86,yes,kuperman
wheel,4.40,yes,kuperman
wheels,4.40,yes,kuperman-lemma
when,4.24,yes,kuperman
where,4.09,yes,kuperman
which,6.58,yes,kuperman
while,7.06,yes,kuperman
whip,7.00,yes,kuperman
white,4.06,yes,kuperman
who,3.81,yes,kuperman
whole,6.89,yes,kuperman
why,3.97,yes,kuperman
wide,5.84,yes,kuperman
wig,5.63,no,kuperman
wild,6.11,yes,kuperman
will,7.53,yes,kuperman
win,4.22,yes,kuperman
wind,3.89,yes,kuperman
window,4.74,yes,kuperman
windy,5.39,yes,kuperman
wing,4.79,yes,kuperman
wink,7.65,yes,kuperman
wins,4.22,yes,kuperman-lemma
wish,3.79,yes,kuperman
wishes,3.79,yes,kuperman-lemma
witch,4.78,yes,kuperman
with,4.44,yes,kuperman
woke,5.63,yes,kuperman-lemma
wood,4.58,yes,kuperman
yam,8.34,no,kuperman
yams,8.34,no,kuperman-lemma
yard,3.94,yes,kuperman
year,5.24,yes,kuperman
yell,3.83,yes,kuperman
yelled,3.83,yes,kuperman-lemma
yelling,3.83,yes,kuperman-lemma
yellow,3.20,yes,kuperman
yells,3.83,yes,kuperman-lemma
yes,2.31,yes,kuperman
yet,6.96,yes,kuperman
you,4.35,yes,kuperman
your,4.10,yes,kuperman
youth,6.89,yes,kuperman
yum,,no,estimated:interjection
zac,,no,estimated:name
zag,,no,estimated:onomatopoeia
zap,6.56,no,kuperman
zig,,no,estimated:onomatopoeia
zip,5.30,no,kuperman
zips,5.30,no,kuperman-lemma
zoo,3.75,no,kuperman
