word,aoa,dale_chall,source
crib,6.05,no,kuperman
cried,2.78,yes,kuperman-lemma
crop,7.63,yes,kuperman
cross,4.74,yes,kuperman
crow,5.74,yes,kuperman
crowd,7.14,yes,kuperman
crown,7.80,yes,kuperman
crust,5.95,yes,kuperman
cry,2.78,yes,kuperman
cub,5.40,yes,kuperman
cube,7.32,no,kuperman
cuff,8.44,yes,kuperman
cup,3.57,yes,kuperman
cups,3.57,yes,kuperman-lemma
curl,6.39,yes,kuperman
curls,6.39,yes,kuperman-lemma
cut,4.43,yes,kuperman
cute,4.26,yes,kuperman
cuts,4.43,yes,kuperman-lemma
dad,2.58,yes,kuperman
dads,2.58,yes,kuperman-lemma
damp,7.67,yes,kuperman
dan,,no,estimated:name
dark,3.74,yes,kuperman
dash,7.74,yes,kuperman
dashes,7.74,yes,kuperman-lemma
date,5.84,yes,kuperman
daughter,4.95,yes,kuperman
day,3.50,yes,kuperman
dear,5.55,yes,kuperman
deb,,no,estimated:name
deck,6.45,yes,kuperman
deep,5.47,yes,kuperman
den,5.70,yes,kuperman
did,3.60,yes,kuperman-lemma
dig,4.19,yes,kuperman
digs,4.19,yes,kuperman-lemma
dill,8.20,no,kuperman
dim,7.06,yes,kuperman
dime,5.74,yes,kuperman
dip,7.00,yes,kuperman
dips,7.00,yes,kuperman-lemma
dirt,3.83,yes,kuperman
dish,4.89,yes,kuperman
dishes,4.89,yes,kuperman-lemma
dislikes,5.42,yes,kuperman-lemma
distrusts,10.10,no,kuperman-lemma
ditch,6.22,yes,kuperman
dive,7.21,yes,kuperman
do,3.60,yes,kuperman
dock,8.22,yes,kuperman
does,3.60,yes,kuperman-lemma
dog,2.80,yes,kuperman
dogs,2.80,yes,kuperman-lemma
doll,3.68,yes,kuperman
dollar,5.06,yes,kuperman
door,3.05,yes,kuperman
dot,4.33,yes,kuperman
dots,4.33,yes,kuperman-lemma
down,4.93,yes,kuperman
draw,4.11,yes,kuperman
dream,4.88,yes,kuperman
drew,5.41,yes,kuperman
drip,5.89,yes,kuperman
dripped,5.89,yes,kuperman-lemma
drive,5.26,yes,kuperman
drop,3.26,yes,kuperman
dropped,3.26,yes,kuperman-lemma
drops,3.26,yes,kuperman-lemma
drum,4.63,yes,kuperman
dry,4.11,yes,kuperman
duck,3.50,yes,kuperman
dug,4.19,yes,kuperman-lemma
duke,7.89,no,kuperman
dull,8.05,yes,kuperman
dump,6.58,yes,kuperman
dumped,6.58,yes,kuperman-lemma
dust,5.06,yes,kuperman
dusty,4.74,yes,kuperman
ear,3.63,yes,kuperman
east,6.94,yes,kuperman
eat,2.78,yes,kuperman
edge,6.17,yes,kuperman
end,4.28,yes,kuperman
every,4.20,yes,kuperman
eyes,3.44,yes,kuperman
face,3.75,yes,kuperman
fair,5.67,yes,kuperman
fall,4.71,yes,kuperman
falls,4.71,yes,kuperman-lemma
fan,5.63,yes,kuperman
far,4.88,yes,kuperman
farm,3.85,yes,kuperman
farmer,4.74,yes,kuperman
fast,3.74,yes,kuperman
faster,3.74,yes,kuperman-lemma
fastest,3.74,yes,kuperman-lemma
fate,10.30,no,kuperman
fax,9.68,no,kuperman
fear,4.79,yes,kuperman
feather,4.67,yes,kuperman
fed,5.68,yes,kuperman
feet,3.44,yes,kuperman-lemma
fell,3.28,yes,kuperman
felt,6.10,yes,kuperman
fern,8.67,no,kuperman
fetch,6.61,no,kuperman
fetches,6.61,no,kuperman-lemma
few,6.00,yes,kuperman
fig,8.06,yes,kuperman
figs,8.06,yes,kuperman-lemma
fill,5.06,yes,kuperman
filled,5.06,yes,kuperman-lemma
fills,5.06,yes,kuperman-lemma
film,6.95,yes,kuperman
fin,7.30,no,kuperman
find,5.78,yes,kuperman
finds,5.78,yes,kuperman-lemma
fine,7.44,yes,kuperman
first,4.39,yes,kuperman
fish,4.05,yes,kuperman
fishing,4.72,yes,kuperman
fist,4.58,yes,kuperman
fit,5.74,yes,kuperman
fits,5.74,yes,kuperman-lemma
five,4.51,yes,kuperman
fix,5.00,yes,kuperman
fixable,8.32,no,kuperman
fixed,5.00,yes,kuperman-lemma
fixes,5.00,yes,kuperman-lemma
fizz,7.06,no,kuperman
flag,5.33,yes,kuperman
flame,6.25,yes,kuperman
flat,5.68,yes,kuperman
flew,3.05,yes,kuperman-lemma
flip,5.11,yes,kuperman
flips,5.11,yes,kuperman-lemma
flop,6.68,yes,kuperman
flow,7.40,yes,kuperman
flower,3.11,yes,kuperman
fly,3.05,yes,kuperman
fog,6.21,yes,kuperman
fold,4.95,yes,kuperman
food,3.25,yes,kuperman
foolish,8.94,yes,kuperman
foot,3.44,yes,kuperman
for,4.39,yes,kuperman
fort,6.48,yes,kuperman
found,5.15,yes,kuperman
fox,5.02,yes,kuperman
foxes,5.02,yes,kuperman-lemma
frame,7.67,yes,kuperman
free,5.21,yes,kuperman
fresh,6.22,yes,kuperman
frog,4.32,yes,kuperman
from,4.44,yes,kuperman
frown,4.52,yes,kuperman
fruit,3.63,yes,kuperman
fry,5.79,yes,kuperman
fudge,5.78,yes,kuperman
full,4.24,yes,kuperman
fun,3.67,yes,kuperman
funniest,5.47,no,kuperman-lemma
funny,5.47,yes,kuperman
fuss,5.50,no,kuperman
game,4.26,yes,kuperman
gap,8.22,no,kuperman
gasps,8.05,no,kuperman-lemma
gate,5.32,yes,kuperman
gave,4.28,yes,kuperman-lemma
gem,7.68,no,kuperman
get,3.17,yes,kuperman
gets,3.17,yes,kuperman-lemma
ghost,5.06,no,kuperman
gill,7.39,no,kuperman
girl,4.00,yes,kuperman
gives,4.28,yes,kuperman-lemma
glad,5.79,yes,kuperman
gladness,8.00,no,kuperman
glow,6.28,yes,kuperman
glue,4.67,yes,kuperman
go,3.37,yes,kuperman
goat,5.21,yes,kuperman
goes,3.37,yes,kuperman-lemma
gold,7.10,yes,kuperman
gone,3.37,yes,kuperman-lemma
good,3.55,yes,kuperman
got,3.17,yes,kuperman-lemma
grab,5.37,yes,kuperman
grabbed,5.37,yes,kuperman-lemma
grabs,5.37,yes,kuperman-lemma
grace,7.29,no,kuperman
gran,,no,estimated:informal
graph,8.16,no,kuperman
grass,3.94,yes,kuperman
gray,5.74,yes,kuperman
great,5.05,yes,kuperman
green,3.79,yes,kuperman
greenish,7.11,no,kuperman
grew,4.79,yes,kuperman-lemma
grin,5.84,no,kuperman
grinned,5.84,no,kuperman-lemma
grinning,5.84,no,estimated:inflection
grins,5.84,no,kuperman-lemma
grip,6.70,no,kuperman
ground,4.89,yes,kuperman
group,5.94,yes,kuperman
grow,4.79,yes,kuperman
growl,5.79,no,kuperman
gum,4.89,yes,kuperman
gus,,no,estimated:name
gust,8.12,no,kuperman
had,3.72,yes,kuperman-lemma
hal,,no,estimated:name
hall,5.35,yes,kuperman
ham,4.10,yes,kuperman
hana,,no,estimated:name
hand,2.74,yes,kuperman
handle,6.30,yes,kuperman
hands,2.74,yes,kuperman-lemma
hang,6.68,yes,kuperman
happiest,2.72,no,kuperman-lemma
happy,2.72,yes,kuperman
hard,4.39,yes,kuperman
has,3.72,yes,kuperman-lemma
hat,3.33,yes,kuperman
haul,7.58,yes,kuperman
have,3.72,yes,kuperman
he,3.81,yes,kuperman
head,3.42,yes,kuperman
hear,3.80,yes,kuperman
heat,5.33,yes,kuperman
heavy,4.05,yes,kuperman
hedge,8.90,no,kuperman
held,4.67,yes,kuperman-lemma
help,3.65,yes,kuperman
helped,3.65,yes,kuperman-lemma
helpful,5.44,yes,kuperman
helping,3.65,yes,kuperman-lemma
helpless,8.32,no,kuperman
helps,3.65,yes,kuperman-lemma
hem,8.37,yes,kuperman
hen,6.39,yes,kuperman
hens,6.39,yes,kuperman-lemma
her,5.09,yes,kuperman
herd,7.74,yes,kuperman
hid,4.47,yes,kuperman-lemma
hide,4.47,yes,kuperman
hides,4.47,yes,kuperman-lemma
high,4.58,yes,kuperman
hike,9.40,no,kuperman
hill,3.47,yes,kuperman
hilltop,7.95,yes,kuperman
him,3.43,yes,kuperman
hip,6.17,yes,kuperman
his,3.69,yes,kuperman
hiss,6.33,yes,kuperman
hissed,6.33,yes,kuperman-lemma
hive,6.89,yes,kuperman
hoe,8.72,yes,kuperman
hog,5.70,yes,kuperman
hold,4.67,yes,kuperman
holds,4.67,yes,kuperman-lemma
hole,5.05,yes,kuperman
home,3.87,yes,kuperman
hood,5.50,yes,kuperman
hook,6.26,yes,kuperman
hop,4.84,yes,kuperman
hope,4.89,yes,kuperman
hopeless,8.20,yes,kuperman
hopped,4.84,yes,kuperman-lemma
hopping,4.84,yes,kuperman-lemma
hops,4.84,yes,kuperman-lemma
horn,4.84,yes,kuperman
host,8.05,yes,kuperman
hot,3.37,yes,kuperman
hotdog,4.55,no,kuperman
hottest,3.37,yes,kuperman-lemma
house,3.16,yes,kuperman
how,5.36,yes,kuperman
howl,5.55,yes,kuperman
hub,10.11,no,kuperman
huff,9.28,no,kuperman
hug,2.58,yes,kuperman
huge,4.90,yes,kuperman
hugs,2.58,yes,kuperman-lemma
hum,5.80,yes,kuperman
hums,5.80,yes,kuperman-lemma
hung,6.68,yes,kuperman-lemma
hunts,6.06,yes,kuperman-lemma
hush,4.44,yes,kuperman
hut,8.10,yes,kuperman
